"","V1"
"31",5
"37",4
"49",6
"56",3
"68",3
"75",2
"83",6
"93",4
"108",6
"127",3
"138",0
"156",1
"167",4
"229",5
"283",8
"293",7
"313",2
"315",5
"402",0
"415",8
"432",8
"433",6
"437",4
"446",7
"471",2
"481",4
"482",5
"486",2
"488",1
"521",0
"550",2
"566",3
"598",0
"607",6
"648",5
"691",2
"697",1
"714",2
"732",3
"733",8
"779",2
"799",4
"812",4
"827",2
"839",0
"841",1
"853",8
"875",2
"885",3
"889",4
"896",6
"921",3
"978",7
"1010",7
"1046",4
"1047",2
"1091",0
"1143",3
"1147",6
"1148",3
"1159",1
"1163",4
"1204",4
"1222",3
"1295",7
"1296",8
"1336",4
"1349",0
"1362",2
"1373",1
"1397",0
"1435",6
"1452",2
"1474",8
"1485",3
"1550",4
"1556",4
"1563",3
"1571",2
"1605",6
"1624",8
"1632",4
"1653",0
"1666",1
"1677",6
"1725",1
"1726",8
"1732",7
"1734",7
"1745",1
"1754",4
"1772",3
"1789",4
"1808",0
"1829",5
"1860",7
"1890",6
"1932",2
"1945",6
"1966",7
"1987",7
"2011",4
"2026",6
"2052",2
"2058",6
"2082",1
"2102",6
"2116",4
"2118",5
"2153",1
"2155",1
"2157",4
"2190",2
"2206",1
"2260",7
"2269",5
"2272",1
"2279",8
"2281",3
"2326",0
"2327",5
"2332",2
"2333",0
"2337",0
"2358",1
"2393",2
"2409",7
"2433",1
"2484",0
"2513",6
"2531",7
"2540",5
"2573",2
"2593",4
"2594",5
"2601",7
"2611",3
"2622",3
"2626",0
"2631",1
"2636",0
"2649",0
"2694",6
"2695",6
"2719",1
"2744",4
"2758",8
"2771",4
"2845",4
"2856",2
"2866",8
"2970",3
"3000",6
"3007",2
"3012",1
"3014",8
"3028",8
"3055",1
"3069",1
"3074",3
"3088",1
"3128",5
"3144",2
"3146",7
"3150",4
"3165",6
"3170",7
"3179",5
"3189",7
"3217",4
"3236",5
"3248",5
"3284",4
"3289",8
"3299",1
"3318",8
"3321",3
"3349",2
"3360",5
"3387",7
"3418",0
"3419",3
"3427",4
"3442",8
"3448",7
"3467",7
"3470",8
"3476",2
"3482",1
"3483",3
"3494",2
"3526",8
"3547",2
"3560",1
"3614",8
"3615",8
"3637",0
"3653",7
"3661",4
"3686",1
"3714",2
"3720",8
"3744",0
"3768",2
"3780",4
"3782",2
"3832",7
"3852",8
"3858",3
"3890",8
"3900",5
"3997",0
"4006",2
"4018",3
"4025",3
"4044",7
"4051",0
"4070",8
"4089",6
"4099",2
"4113",7
"4138",3
"4143",6
"4152",3
"4162",0
"4184",1
"4193",1
"4204",8
"4219",2
"4220",0
"4266",5
"4275",6
"4279",5
"4305",8
"4317",1
"4322",8
"4355",6
"4403",5
"4432",2
"4463",4
"4465",1
"4513",4
"4538",8
"4553",6
"4616",7
"4627",3
"4638",2
"4651",5
"4659",7
"4660",5
"4680",8
"4696",6
"4697",3
"4702",6
"4708",4
"4711",1
"4751",5
"4764",3
"4843",2
"4859",0
"4873",0
"4878",3
"4889",6
"4895",4
"4904",3
"4937",8
"4943",7
"4963",2
"4971",1
"4974",5
"4993",6
"4994",8
"5002",8
"5015",8
"5028",7
"5057",6
"5059",6
"5097",6
"5110",2
"5141",0
"5172",2
"5194",4
"5222",8
"5231",2
"5262",0
"5269",4
"5274",4
"5280",2
"5284",0
"5286",2
"5308",7
"5310",1
"5313",0
"5338",7
"5369",0
"5371",7
"5427",5
"5429",7
"5453",4
"5454",1
"5483",3
"5485",4
"5564",0
"5578",7
"5580",2
"5602",7
"5637",1
"5670",4
"5725",8
"5731",3
"5769",7
"5792",5
"5801",8
"5808",0
"5818",2
"5821",1
"5837",8
"5841",7
"5844",2
"5895",6
"5898",1
"5920",4
"5922",2
"5932",5
"5945",5
"5970",8
"5973",1
"6002",1
"6012",3
"6050",0
"6055",2
"6065",5
"6070",3
"6088",5
"6095",3
"6097",3
"6106",6
"6160",5
"6187",8
"6242",0
"6248",1
"6292",1
"6306",8
"6313",5
"6318",6
"6364",2
"6393",1
"6422",4
"6429",8
"6474",5
"6481",4
"6492",0
"6496",2
"6522",4
"6544",4
"6577",1
"6601",5
"6623",4
"6641",1
"6658",5
"6665",4
"6673",8
"6691",3
"6702",2
"6710",0
"6714",6
"6742",0
"6794",0
"6795",3
"6812",5
"6825",1
"6842",3
"6857",5
"6872",2
"6886",4
"6901",5
"6933",7
"6935",8
"6948",4
"7010",1
"7015",3
"7067",2
"7085",5
"7109",7
"7118",2
"7125",2
"7127",8
"7155",7
"7171",0
"7190",2
"7205",3
"7239",6
"7315",0
"7321",2
"7330",8
"7346",5
"7372",2
"7406",7
"7418",5
"7435",7
"7451",4
"7457",7
"7465",4
"7470",7
"7475",3
"7483",5
