names	A_loading	AUCs	corrs	color
Pyrrole.2.carboxamide_C5.H6.N2.O_110.048_111.055_p	1	0.347107438016529	-0.265091682098607	Blue
Dichloroacetic.acid_C2.H2.Cl2.O2_127.943_126.936_n	1	0.305785123966942	-0.336738082665798	Blue
CHLORIC.ACID_H.Cl.O3_83.961_82.954_n	0.0195366221897748	0.272727272727273	-0.39405520311955	Blue
X2.Decylfuran_C14.H24.O_208.183_209.19_p	0.0184802214207409	0.40495867768595	-0.164786721304539	Blue
Methylphenidate_C14.H19.N.O2_233.142_234.149_p	0.0170793226157404	0.198347107438017	-0.523018724140494	Blue
X2.2..Iminodipropan.1.ol_C6.H15.N.O2_133.11_134.117_p	0.0167576612104688	0.165289256198347	-0.580335844594247	Blue
X.3S..3...1.3.Dihydroxypentyl.oxy..4..trimethylammonio.butanoate_C12.H25.N.O5_263.173_264.181_p	0.0166677443074556	0.322314049586777	-0.308079522438921	Blue
X_C17.H37.N.O3_303.277_304.285_p.4	0.01612332898178	0.206611570247934	-0.508689444027056	Blue
X_NA_1522.756_760.371_n	0.0158592254005054	0.528925619834711	0.0501524803970337	Red
X_C3.H4.N2.O3_116.022_115.015_n	0.0154261185378294	0.809917355371901	0.537348004253932	Red
Ampelomin.B_C7.H12.O3_144.079_145.086_p	0.00493966640929372	0.859504132231405	0.623323684934561	Red
X_NA_146.997_148.004_p	0.00882579594472351	0.826446280991736	0.566006564480809	Red
X_C4.H10.N4.O4_178.07_177.063_n	0.00783600399535052	0.826446280991736	0.566006564480809	Red
Hexanoylcarnitine_C13.H25.N.O4_259.178_260.186_p	0.00240309423558804	0.818181818181818	0.551677284367371	Red
X_C7.H14.N4.O4_218.101_219.109_p	0.0107278691673948	0.809917355371901	0.537348004253932	Red
Creatine_C4.H9.N3.O2_131.069_132.077_p	0.00389277980838373	0.801652892561983	0.523018724140494	Red
X_C6.H3.N2.O7.P_245.967_268.957_p	0.000910350131015348	0.793388429752066	0.508689444027056	Red
X_C7.H15.Cl.N4.O3_238.083_239.091_p.2	0.0110980690585368	0.785123966942149	0.494360163913618	Red
X_C8.H15.Cl.N2.O3_222.077_223.084_p.3	0.0148661779504591	0.776859504132231	0.480030883800179	Red
