"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41","Z42","Z43","Z44","Z45","Z46","Z47","Z48","Z49","Z50","Z51","Z52","Z53","Z54","Z55","Z56","Z57","Z58","Z59","Z60","Z61","Z62","Z63","Z64","Z65","Z66","Z67","Z68","Z69","Z70","Z71","Z72","Z73","Z74","Z75","Z76","Z77","Z78","Z79","Z80","Z81","Z82","Z83","Z84","Z85","Z86","Z87","Z88"
"SC49",0.455138588491049,-0.249317164326398,-0.501003829804984,-0.503852332780908,0.740525616964321,-0.448780066634726,-0.0721918320812833,-1.55627817682576,-1.11425180267887,-3.80643030470606,-0.0738684368198642,-1.70321047490726,-0.730040026288938,1.45822997939902,0.679940218811046,3.55653359134894,-0.114726168326688,-0.755209881233774,0.00287012245042376,-1.91404612517547,-2.91597662807602,-0.935958770428739,-1.92474241986712,-1.95923193516795,-1.24922289717848,0.140306954348878,0.15018182246209,-0.237132913085482,-0.0172803040387389,-0.0436497481395663,-0.456354191019091,-1.10117880275305,-0.65281559146605,-0.45275608055826,-0.776111932047946,0.323026219213017,-3.63853100077541,-0.201894124652451,-0.776535789185704,0.246678791740467,-0.434888550158116,0.241908439047979,-0.979804607303394,-3.5558278761544,0.967544151650157,1.19673518441933,-1.22787842852108,-0.30231054971654,-1.78034561647042,-0.139865748579563,-1.02356569456814,-0.440728322838108,0.326395428892494,1.46609820083479,-0.164460190251799,-0.272009829477864,0.340759524332491,-0.776482391855766,0.543279001302047,-0.292226607927157,1.1258104542453,0.149989175126669,0.0518517123811784,3.81857170452336,-0.131719991153678,0.388152329479431,0.707000692649239,-0.876055331946593,1.65980132250488,0.602359246012572,10.2517005839597,0.194374129402577,-0.0574203086101424,0.940201696843086,0.340868067884149,0.619650256358175,0.951342039102688,0.535273961849093,0.286016425753215,1.92721002400921,-0.57684558988245,0.45735523827188,-4.19611058399064,-0.770176099484256,-0.672002349354659,-1.67529025509409,0.873267010530393,0.913628027003554
"SC60",1.27266386791943,-0.127386929814694,-1.6079095311671,2.72597610200038,0.302117647081645,0.828429263800659,-0.210202063685315,-1.07649495445174,-3.19087818779257,-11.9733282127085,1.85288025057171,-3.64661884816674,-0.871712205509532,0.612392507783387,-0.684328217401839,3.49267969650141,2.92240683328223,0.611650610252592,0.33400544812333,-1.48099089451358,-0.0804690331878392,-0.452350921377703,-2.10142297014912,1.8108211112024,-0.620726641294343,0.739218997600217,1.51728964350888,0.483912620066752,-1.54633514507471,-0.24355226151655,1.64531434565197,0.0497567653264118,0.594730410174392,2.43009770258303,0.340766036367152,-0.633083834555541,-16.55048839175,4.10012432870089,-1.60357274996535,-0.223008943148292,-2.3907040666756,0.217722702625749,-3.06142088766686,-11.5243520433118,0.0303723827674501,-0.813425355200987,-1.07476232827211,-0.042541848831951,-1.60076416956561,0.305933004727857,-1.94620027759658,-2.32241071846659,0.134639094715387,2.0722805050587,3.70188986356127,0.00559203960978646,-1.73552345281892,-0.00274672756322446,0.25879687390442,-0.123216745616348,2.69366815600394,0.962705257561089,-0.969504814526907,12.3138653508319,-2.70521240809994,-0.62242457558062,2.26701033428149,-1.39680073262557,4.75178604131706,-0.746675842923467,33.3392441229394,0.221578451448597,-4.12176388988842,3.21342632861633,-0.785564807910155,0.49413149872143,-0.756281329607593,-0.602347766287786,0.0732575272916605,6.53750227583372,0.118415249391521,-0.136836752185923,-10.550896740078,-3.07661806014227,-0.382276474940505,-1.01593448230681,1.46204675750594,-1.16026608155541
"SC70",-0.561937313247844,-0.420449913380983,2.92537649029212,-0.0740156732451794,2.82782535809455,1.22821962036408,0.374352627908545,-0.576574116051176,0.257950275256622,-1.54937433154134,0.286149752803163,-0.0696297663828664,-0.393626795388952,0.0107742879624383,0.0662646627715515,1.57690552555048,-1.32753573293629,-0.789257523701926,0.347171154807431,-0.012118811689441,0.65960448933739,-0.749477052210264,-1.26496709186381,0.774648207144197,-0.446855142861787,-0.759706828541862,-3.02794248397603,2.6065538571592,0.499089381714227,-1.08877520617804,0.0331042529925617,-1.44755367799979,-0.688372265792108,1.13623919863738,-0.693400428364624,0.149275605416522,0.611385734347074,-1.34255213742513,0.0663464842295364,-0.520501260944392,-0.691240558432526,-0.482404002578937,-1.16611666471791,0.0833786504050307,-0.0964028825792894,0.709319472793386,-1.07554130293123,-0.691587378604483,1.14117827268093,-0.489483062984089,0.360709756621945,0.250769703624035,-0.302934847374608,-1.37710890276653,0.49311589430907,-0.38730309210372,0.943266253732653,1.68754600837455,-1.59377613619005,0.492455592112654,-1.68376141929821,-0.960342628724355,-0.0687075558134029,-1.0830296980382,-0.657188785620983,-1.92036606589406,-0.0493921877476061,0.109281714148141,0.755004937806308,0.622609181732194,0.774666783277864,-0.107304682716464,0.951128674987316,1.59165252762576,-0.889756463565311,0.575633750747608,1.06402676609606,-0.300689268838494,-0.426879938200221,0.929749310578159,0.474590124218597,0.484011972802162,-1.34008539100571,1.73638658417542,-0.462988485069531,-1.62569741167442,0.494161357438303,-1.21283627706973
"SC69",3.52098205375493,-0.0538772891174745,-0.907777718784169,0.0617792753538112,0.875288374580854,-0.317190326272343,-0.416494878704488,0.632608515539157,-1.18407745871389,-8.0839416197529,2.82875622087142,1.08475626477446,-0.665460366655187,2.79872170996295,3.12235972054754,1.31022501376246,1.31043977274779,2.03916151657387,-1.25964738626491,-1.61199566287612,1.3491614173189,-0.571159172956273,-1.12610045348973,1.47360469823868,-0.575609689429877,1.41147061708922,0.196840258162755,0.486367655638366,-0.961230968676507,-0.774149864490632,1.6375106914617,1.50231546675106,-0.625934846334041,-0.631007801536404,-0.909776185161012,-0.300829731073769,-9.14091396492064,2.0574381918783,0.744027266745759,1.06881918954695,0.0784777270360208,-0.613551932842733,-3.87142057097241,-4.75868090744659,1.029425864446,0.0259635556609237,-0.352708156342981,1.6296829343486,-0.594003797552031,0.807050672371178,-1.08363356394162,0.516434269856004,-0.284912988200724,1.93012795861029,1.35377364801307,0.195077623776339,0.678324519696598,1.07282865788215,0.680343797339477,2.49724923442892,-0.375556310162657,1.11027807588888,-0.931463335330851,6.82076254782833,-3.18392678805562,0.551962489783862,-0.766292667697341,-1.85972936698429,2.94140150611509,-2.33879391753534,19.9132956605143,-1.54294526351943,-1.02804775188963,-0.672873441451475,0.593897255028531,0.00902563123645891,-1.21944301508851,-0.0324308617543507,1.01089203623566,2.44209157254824,-0.348391192935132,0.431213810082504,-3.84963273116832,-2.99705305423153,-0.00607481006474853,0.250528225034831,0.453939887994882,-1.19753624726117
"SC86",-1.35986518126441,-0.514799154881529,0.377362293404043,-3.08461444217423,0.181570348221532,-2.25755849834516,-0.488501651556413,1.96586339269482,0.56125214396957,9.53632661576163,-0.610576770249876,1.80074153996143,0.231979883460176,0.632726660707258,-1.5467309340193,-1.70525116706913,-1.71297000100792,-1.88029362260988,-0.263307114594334,1.09379800313639,0.289092252267242,-0.291087189089458,2.82387952154756,-0.706909188246911,0.166088060105556,-1.52477622280636,-1.39642749005615,-0.516656389791738,0.407461242505373,-1.59345051667907,-1.59293192386411,-0.615529376027243,1.99118060558708,-0.476862147747266,1.64810250403359,-0.860557968099043,13.4670124396637,-0.593888335185666,0.0506332982582248,0.786822840437675,-0.623115746137137,-0.261209399614576,3.26431487185427,8.73669705160255,-1.30871136173562,3.22047331516818,-0.087862769702832,-0.543404550572097,-0.0246038409336854,-0.564754127115407,2.31055523132384,0.598846646848969,-0.289714898641716,-2.16454722706741,-2.54063888348566,-0.511212034012708,-1.18541244780216,-0.409181461027773,0.702424794003465,0.23296626820107,-0.982034063710425,-1.23333650120611,0.877327306242213,-9.36290002944735,3.78859408076941,0.266005579127374,-1.11581221087031,1.06928120166838,-4.06694099823341,-1.31022698232776,-26.239923474664,0.356035257083842,3.23409629143494,-3.95639079524501,0.196995004977823,-0.55922393663423,0.061567433348831,-0.483680747084365,-1.6650168486054,-6.35591553886848,-0.558061087090525,-0.145764345529605,8.35809212709097,1.54183363698905,-0.288215425978855,1.26745594216445,-0.807403379483102,0.872896083827007
"SC119",-0.0902983154922406,-0.464150638752151,-0.385031537269514,0.147494799750473,-0.529304849371762,-0.660910515924169,-0.315906634195647,-0.651083555827916,-0.231015319524867,-1.07792063392534,-0.68679690846873,-1.44007958198692,-0.339051589910025,-0.084943920944629,-0.560797145748091,0.112598607462604,0.667479462224772,-0.969116049366831,-0.0887613418137049,-0.564286272400753,1.85334725652279,0.890837619961091,1.86209020828567,1.31193179256792,-0.278122458330317,1.00694477128956,-0.426211984468765,-1.01776585158552,-1.21339056350949,-1.69444224575817,-0.212353346935873,-1.49607622290587,1.16987942285121,-0.662198824244401,-0.808832306190646,0.884053212127946,-2.07138566837654,-0.124839215483819,-0.398669868596255,1.20818452624163,-1.89819253537305,-0.503639105598486,0.0468413671063615,-0.25861638028612,-0.746186373063198,-0.536054702772022,0.572880404875988,-0.568247800506082,-0.707439761190177,-0.328954842873756,0.0725281556692622,0.0552535619138789,-0.514739528850881,-0.160461575333565,-0.144493300670733,-0.0418504927891606,-0.449249356510193,-0.632843333025192,-1.06899252055152,-0.868878610398295,0.521563306633808,-1.22990341796517,-0.226106932149471,0.0264225659133151,1.13384289601752,-2.07358382069646,-0.297039378200541,-0.55435470968595,0.54302754789562,0.445886799005389,1.72896218368164,0.294066382406542,-0.34013296190257,0.649879086110287,-0.35747655148595,-0.887547702869037,-1.00035901014245,-1.52695645251124,0.580841624088262,-0.968367233962386,0.485877037544849,-1.17685761251597,0.852246981463035,-0.28221208489152,-0.419552421584933,-0.658416333530875,0.955477371655076,0.88461798610597
"SC185",-0.651851305796291,-0.030157088332226,-0.331776060315718,-0.674780838957205,0.585615591696998,0.961610149097312,-0.0489155809826925,-0.57077803443131,-0.552311211794904,-0.476758350104682,-1.10713506189383,-0.945264318424867,0.966074861952626,0.758461260088765,-0.389781253975096,-0.0651022648976474,-0.164925448939354,-0.0883518574798196,-0.145497472080137,-0.473750477266247,-0.328276162599372,-0.00260354206501485,-0.551151641439569,-0.284741066614192,-0.243572574346214,-1.02242756543713,0.121805424203051,-0.0925989019476364,1.10082953985016,-0.970203355004502,-0.185754266839891,0.441786654957877,-0.607517880230789,-0.8558965123569,-0.371518853323187,0.152630988542945,0.0653160537822883,0.642517750281788,-0.257309194291444,-0.899459405881861,-1.48611745563468,0.619804493422063,-0.829212583662338,-0.804207167739026,-1.02032589149113,0.744832168761946,-0.578987743576957,-0.481716215595935,-0.0355062897521803,-0.109926701247215,-0.517850731890196,-1.22808714028092,-0.123992220205187,0.507894989104036,-0.00784139801684681,3.71122516688974,-2.55917079420285,0.0502157736218373,0.847642685593475,0.0430922914569132,0.520387986168513,-0.817469438808948,-0.180226106894253,-0.0949373814341103,0.0497515838184889,-0.421342835454042,-0.429705824542233,-0.563881946136263,-0.875818185142473,0.344597121020647,-0.744872446093207,-0.151692966608334,0.923966025062357,1.33256070161249,-0.21759132755427,0.196719865754661,1.1460520632951,-0.0833800192497982,0.341678401439834,0.789608330230815,-0.0868572086776747,-1.10343099387075,-0.100255589839922,0.771315037245333,-0.941086120199873,0.323295460370167,0.285102284332555,0.864432479383274
"SC188",-0.00423620797339578,-0.269212394287196,-0.164148553631566,2.72958991115327,-1.37844343813734,0.158476376814993,-0.125114869956374,-0.153108513656079,0.308082899384351,-5.88292587606439,1.4406918833305,-1.55960858094221,0.23867874078453,0.597037628097001,-0.0619771229633261,1.06843875646662,2.18122934621709,0.213891652075852,-0.264818588399468,-0.457902423081364,-1.49271895522828,-0.213427892755652,-1.01342146510844,-0.340429249295084,-0.1570479277143,1.01143288290937,1.74972068495362,0.326718301439768,-1.04007073740026,0.748093361464975,1.13806175967164,0.0746926177467025,1.50367844087102,0.819965090789831,-0.96558680696057,-0.973239335464005,-7.97980095391993,-0.383535763921687,0.234201040449322,-0.387876469273074,-0.191616065240071,0.261925602667727,-0.77368069546137,-3.44814278764415,0.988893968697185,1.06620708294798,0.867903233899683,0.887859369348751,-0.060286710908311,0.337622760137125,-0.263917918347856,0.0506652069979262,-0.175754017972553,1.75651769898223,1.4463414900029,0.398139950267365,0.517546357425996,-0.575043463854235,-0.471437842981638,-0.676473130863256,1.11001035811803,2.07821824475477,0.569157272096933,6.51635622013339,-0.513543152215386,-0.207590988686299,1.23587107331552,-0.807011223015102,3.52619674877892,0.259977656931384,14.5955459895435,0.00793391241721987,-1.42230009218896,1.87558545670815,0.570808523935886,0.565156570516537,-1.44384996753817,0.341931611566117,1.48007666025795,3.14095776302086,0.361123168097872,-1.20087861285398,-3.88343992880763,-1.68994316067214,-0.24276669753668,-0.347110221600243,0.192529246773665,0.628499134471046
"SC189",0.916134859955427,-0.0990923884824185,-0.483264167109599,-1.04860674007173,-0.105973870956843,-0.810579577581578,0.476952772327674,1.0669639684614,-1.10586425873644,-0.154470186601078,-0.478437695933929,0.522061801991661,0.0370119928664563,1.38941766594921,0.205182521072475,-0.530357837840336,0.722823453997066,2.68786325930231,-1.77051888270327,0.0794960012773588,0.190303303480559,0.500318072588945,-0.241976752401911,0.510225962280234,0.195739276579446,0.564788065326902,-0.0865615241519309,-0.828486965559852,-0.270064478244937,0.759264699460555,0.204446957103809,0.273890851219528,-0.637706727352404,0.308857452453971,-0.522642793135621,0.181011398002737,2.07849001061588,0.145814074982631,-0.368351401664831,-0.943107416846219,1.18132337924156,-0.410916793854527,-0.506403817836685,-0.347241980115048,0.557650567245602,-0.0983367062030082,-0.985254327372852,1.14680901439678,0.583624930767979,3.18905256601156,0.137028009817183,0.848520456120638,-0.319686200666186,0.867987421329674,-0.0196010030858497,1.02850864198489,0.181209926919368,-0.408217356851409,0.1496798089133,0.316858282379561,0.0480737554512371,1.5127876674769,0.0614554543793362,-0.776644589916323,-0.0898505729231333,-0.00993699931444803,-0.0323565013913948,0.852476659650516,-1.34203556837995,-0.766902724978719,-2.36762843613633,0.828585299142924,0.697467841528295,-1.50710864731607,0.334304138552959,-1.5734133402729,0.738904194698392,1.04691848813509,-2.31829540230831,-0.11353048927948,-0.705994227404229,1.89516613332143,-0.436142857685422,-0.161907256489383,-1.01868607565258,-0.625037467735014,0.30904409519114,-1.21861785925023
"SC159",-1.20150697929037,-0.531084254773926,0.30462041445201,-1.52145194979696,0.347772894673221,-1.92729424289069,-0.517964759768079,1.4454310493763,1.00256904559288,6.17006136465115,-0.871858094458589,2.02462743881924,0.538786669301865,-0.856348358133061,-0.139666062302822,-2.26144163067019,-2.03984534771703,-0.531671739087889,-0.306634280033762,1.28228848436528,0.633428853731323,-0.354269399770207,1.55495285511805,-0.264577389935987,0.325621438892025,-1.88465826134391,-0.819668581694966,0.422089040832903,0.388346599753991,0.506396081149581,-0.79642201442385,-0.303731874961332,-0.665110801815217,-0.476186572802082,0.203897796036663,0.36361646737277,8.20450229706417,-0.301808837089631,0.53634306817418,-0.344814519306143,-0.0673209703195581,-0.342289433615898,2.33560975472465,5.78258651861076,-0.531557011043788,-0.041930918696126,0.483813666570949,-0.0644130162197967,1.38891939300088,-0.797980977675956,0.696508805030453,0.214527426836009,-0.990681497628024,-1.69881288140743,-1.17424529591108,-0.214151323923895,-0.0571229979401747,-1.81805429383149,0.370934436714383,-0.720476467803625,-1.75522465216322,0.0602999978392092,0.499684764549122,-7.7808885575075,-1.14359437326884,0.542034279864463,-0.0207916837129782,0.818605773930666,-3.8491913539137,0.449863899238558,-17.3671731446585,1.12173488758747,1.51971110299932,-2.62179887337166,0.937293033132067,-1.57157433215584,-0.333667463759224,0.0503919503106875,0.114604560382932,-3.98304311107762,-0.445287247715625,0.68178483551534,5.3217661251458,2.57976875724478,0.91850876852079,0.908352502666557,-0.865135008097718,0.544375481768483
