names	A_loading	corrs	color
c.8.DUSP1	1	0.117160456543945	Red
c.8.ZFP36	1	0.239547401855649	Red
c.8.GADD45B	1	0.00827527388228606	Red
c.8.JUN	1	-0.0483450211017764	Blue
c.8.SOCS3	1	0.358885562052827	Red
c.9.C1QC	0.170694070468796	-0.0313589326065577	Blue
c.5.SOD2	0.148620289086759	0.172474129336067	Red
c.14.MBP	0.10700038576472	0.0300641660650754	Red
c.9.CXCL1	0.0876906622760363	0.00435919956430839	Red
c.2.SOD2	0.0753259926626834	0.0191637921484519	Red
c.0.S100A2	0.00648256117098457	0.523955498967901	Red
c.14.ABCA8	0.00395874493351083	-0.460684482347433	Blue
c.17.MTCO1	0.00827201578151298	-0.339286229173728	Blue
c.3.PI16	0.0244142059424125	-0.22648117993625	Blue
c.17.XCL1	0.00027912075567069	-0.175853624092997	Blue
c.14.EGR1	0.0328714653559599	0.164634396184428	Red
c.1.HSPA6	0.00296839285319678	0.155923581571495	Red
